"sim10_repl1_input","sim10_repl1_high","sim10_repl1_med","sim10_repl1_low","sim10_repl2_input","sim10_repl2_high","sim10_repl2_med","sim10_repl2_low"
10,12,11,9,20,28,17,18
0,0,0,0,14,8,7,25
30,34,31,39,11,7,13,14
7,4,9,13,4,3,4,5
3,5,7,2,5,11,12,5
11,6,13,6,2,0,0,0
19,19,20,8,23,17,33,11
1,0,3,0,22,19,20,18
58,45,62,53,0,0,0,0
1,5,4,2,8,5,9,13
22,29,35,20,4,7,13,0
0,3,3,3,32,34,24,2
7,3,5,4,14,12,10,31
2,3,0,9,27,14,37,24
7,11,5,5,16,26,14,15
2,2,2,2,2,2,1,0
3,1,10,1,0,0,0,0
14,14,13,21,0,0,0,0
54,52,49,15,4,5,7,2
56,70,49,56,0,1,0,0
30,32,37,54,1,0,0,0
0,0,0,0,1,0,0,0
31,46,37,58,0,0,0,0
18,21,13,4,14,19,32,0
14,12,17,8,90,85,76,4
82,90,80,108,23,18,12,1
0,0,0,0,8,4,9,5
0,0,0,0,8,11,10,4
4,3,4,1,7,14,10,9
2,1,2,2,10,13,7,18
82,69,68,48,40,49,28,3
42,44,48,38,38,26,42,38
5,10,11,5,0,0,0,0
18,29,15,44,9,10,10,9
19,9,22,5,13,11,6,5
13,11,6,3,25,31,38,52
24,19,20,21,4,3,6,0
51,51,56,43,1,2,3,3
3,5,2,3,26,25,27,17
3,1,5,1,3,1,1,2
46,41,38,20,0,0,0,0
8,17,12,32,0,1,1,1
0,1,0,2,68,88,65,80
0,0,0,0,0,0,0,0
3,4,2,1,5,7,11,11
1,0,3,5,13,15,6,16
101,74,89,53,2,6,5,0
0,0,0,0,2,0,2,0
2,3,2,1,22,35,26,3
35,46,31,0,6,2,5,14
0,0,0,0,6,5,4,3
8,5,10,21,3,0,4,2
0,0,0,1,6,3,4,17
71,69,61,57,3,1,2,1
6,5,5,3,0,0,0,0
66,63,71,32,14,15,14,12
17,11,13,21,41,45,36,27
11,12,3,2,11,11,10,9
7,14,9,3,0,0,0,0
4,0,0,2,0,0,0,0
3,4,5,2,11,10,6,11
9,11,14,15,97,53,70,37
39,57,46,61,17,9,20,30
30,17,22,32,6,1,8,10
1,4,5,10,10,7,15,0
0,3,3,2,29,19,18,18
13,20,20,18,38,25,29,12
51,50,36,81,31,25,26,40
2,0,3,0,0,0,0,0
19,15,11,8,0,1,1,0
14,11,11,5,14,6,3,7
4,1,2,2,2,7,6,2
0,0,0,0,37,48,36,38
41,36,47,87,12,9,8,19
0,0,0,0,0,0,0,0
23,27,27,44,0,0,0,0
18,27,16,65,22,16,12,12
0,0,0,0,8,8,17,9
9,6,8,19,5,6,5,5
3,2,5,2,73,65,60,81
12,8,7,8,10,12,7,4
6,4,3,5,34,29,28,9
1,0,0,0,0,2,6,1
72,54,60,10,24,18,18,20
31,34,43,38,1,2,2,1
0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0
46,48,34,56,0,0,0,0
9,16,3,3,1,3,2,7
0,0,1,0,19,15,17,6
0,0,0,0,45,52,52,26
1,0,1,0,24,16,13,10
0,0,0,0,1,1,0,3
0,0,0,2,10,7,12,15
27,30,29,21,2,1,1,2
21,18,13,31,10,3,20,3
10,6,13,0,4,2,3,2
1,2,0,4,2,4,1,1
26,27,24,42,2,4,0,0
16,18,13,29,21,23,39,27
15,10,10,12,2,3,2,1
1,4,3,2,0,0,0,0
31,27,21,22,10,10,11,16
39,59,53,30,24,24,31,42
20,22,15,43,10,6,10,3
10,10,11,10,43,43,31,66
0,1,0,0,16,22,22,1
5,1,6,17,101,86,109,16
23,29,24,20,3,1,2,1
42,48,34,18,10,12,9,3
0,0,0,0,3,10,8,12
8,8,5,6,24,17,16,14
46,43,42,23,3,10,7,5
8,3,2,4,0,1,1,0
10,13,7,2,32,23,15,54
11,12,7,13,53,43,49,37
6,5,4,4,54,40,39,199
0,1,0,0,30,53,29,27
33,32,41,13,37,31,43,25
0,0,0,0,10,11,6,1
42,31,50,86,86,89,66,68
17,11,19,65,3,5,8,2
2,0,6,3,30,31,31,26
4,7,10,1,15,13,11,1
0,1,0,0,5,7,5,3
2,1,1,0,55,51,73,63
14,24,19,16,34,48,46,125
4,12,5,5,27,37,29,29
6,5,4,8,1,0,0,1
6,8,5,1,9,10,13,6
26,20,22,21,0,0,0,0
7,5,6,4,1,1,0,0
56,49,58,34,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,7,6,4,6
7,2,4,6,7,4,1,13
1,5,3,0,22,34,25,16
49,43,56,38,1,3,0,4
17,10,19,13,2,2,3,6
8,3,9,5,22,29,15,4
1,0,1,1,1,0,0,1
12,16,17,35,6,4,6,15
38,47,39,93,0,0,0,0
1,1,2,2,10,15,21,7
73,42,76,89,1,0,1,1
62,72,49,85,94,101,99,64
13,12,9,4,4,5,2,1
8,6,9,5,27,25,18,26
0,0,0,0,27,26,14,30
24,23,19,24,16,15,19,12
11,12,11,14,1,1,0,2
6,11,10,15,0,0,0,0
0,0,0,0,4,2,2,7
84,75,69,136,3,5,4,7
5,3,5,3,3,4,4,2
23,31,18,5,32,25,21,13
2,2,0,3,0,0,0,0
15,9,13,10,9,8,10,4
19,22,21,35,2,0,4,0
6,7,11,17,4,10,2,2
4,2,3,2,31,31,35,51
9,12,5,1,31,13,34,44
34,32,34,37,20,23,15,8
31,21,26,37,12,14,8,7
4,1,0,1,16,17,23,19
22,22,35,13,32,41,39,54
5,7,5,5,0,2,1,0
1,2,1,1,0,0,0,0
5,4,8,20,2,3,3,4
0,3,1,1,4,1,2,0
2,0,3,0,49,43,52,13
3,1,0,2,7,3,9,15
55,35,49,51,14,17,10,40
28,19,25,20,37,46,40,33
7,3,5,2,44,51,39,57
0,0,0,0,7,6,11,11
7,13,8,5,39,37,45,46
0,0,0,0,16,17,19,19
74,67,89,57,19,25,18,23
7,5,5,17,0,0,0,0
18,15,4,9,0,0,0,0
5,0,3,4,51,55,68,65
7,7,12,2,18,36,20,27
20,28,32,25,0,0,0,0
47,31,33,25,16,10,11,8
18,13,17,16,3,4,2,2
7,11,10,6,0,0,0,0
8,5,6,3,0,0,0,0
0,0,0,0,30,29,30,35
12,13,16,29,33,23,21,12
2,0,1,2,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,1,11,15,17,3
2,0,1,0,0,0,0,0
5,3,1,4,3,9,4,12
3,2,2,0,5,9,3,7
15,12,12,13,2,4,4,8
17,15,16,4,18,16,11,13
3,0,1,3,2,3,6,5
3,4,7,0,0,0,0,0
9,8,6,7,2,4,5,1
8,16,12,8,28,39,32,13
2,2,5,1,0,2,3,5
7,1,8,5,3,0,2,1
14,16,11,7,5,8,7,12
7,3,6,5,8,13,10,17
12,9,4,7,18,27,25,27
3,5,9,17,6,10,8,4
0,0,0,0,1,1,1,0
59,36,61,13,10,14,9,5
42,40,39,68,9,17,18,9
0,1,1,0,9,9,8,1
0,0,0,0,5,7,7,3
34,34,25,21,13,16,10,11
0,0,0,0,70,63,84,53
28,24,32,7,5,6,2,11
95,92,72,422,24,14,12,26
28,26,23,60,2,2,2,4
1,2,2,1,6,7,5,1
77,79,52,81,5,3,6,2
3,0,2,3,24,20,12,103
0,3,0,1,1,3,1,5
2,3,1,2,17,26,23,42
29,32,24,15,44,44,40,25
1,0,3,3,1,0,2,3
21,14,30,23,9,9,4,2
2,4,1,4,25,25,17,13
2,7,3,5,0,0,0,0
43,37,44,90,21,19,14,35
21,12,14,18,36,47,40,13
0,0,0,0,6,5,6,2
27,24,27,5,22,23,27,40
10,8,10,28,0,0,1,0
20,15,27,19,0,0,0,0
0,0,0,0,50,53,45,88
5,4,4,11,1,0,0,0
2,3,0,2,5,2,3,11
0,0,0,0,0,0,0,0
0,2,5,3,8,15,9,8
0,0,0,0,4,4,5,5
39,31,41,43,5,6,6,2
2,2,0,1,5,1,1,2
18,14,14,9,0,0,1,0
3,4,2,0,0,0,0,0
10,12,13,11,5,5,3,12
29,25,32,54,17,23,22,27
19,13,22,20,0,0,4,4
5,4,12,11,23,26,23,17
26,22,19,51,19,16,36,38
1,0,0,0,12,17,8,34
0,0,0,0,1,3,3,6
51,49,57,35,0,0,0,0
1,1,2,1,27,24,26,29
18,20,17,24,39,25,47,49
17,13,13,3,15,14,15,4
81,83,82,39,11,2,4,5
10,18,7,20,50,63,45,88
6,9,3,9,2,0,4,0
2,3,3,4,28,42,46,8
1,1,0,0,8,9,7,4
0,0,0,0,13,34,18,7
0,0,0,0,0,0,0,0
0,1,1,8,6,4,2,2
25,35,41,30,72,61,52,82
17,12,18,21,28,19,20,5
7,4,1,1,2,3,6,2
15,11,17,14,0,2,1,0
6,3,5,3,1,1,1,2
0,0,0,1,13,17,16,3
7,7,10,6,4,6,3,2
0,0,1,0,0,1,2,1
0,0,0,0,98,101,75,92
21,26,35,8,0,1,0,0
14,6,13,8,7,7,9,4
0,0,0,0,3,6,7,1
4,2,1,4,0,0,0,0
12,13,15,16,0,0,0,0
2,1,4,3,1,2,0,4
2,1,4,1,51,41,26,113
3,2,5,0,0,0,0,0
17,17,13,19,0,0,1,0
5,5,4,2,3,2,1,1
0,0,0,0,0,0,0,0
54,53,43,36,0,0,0,0
16,15,14,6,2,5,1,2
28,28,32,9,31,31,18,9
0,1,0,2,13,13,13,3
15,13,7,1,1,0,0,1
7,8,8,7,0,3,0,2
0,0,1,0,64,56,62,4
37,25,22,15,28,25,28,12
1,3,2,2,0,0,0,0
0,1,0,2,5,5,3,10
13,28,20,35,12,7,5,4
102,105,75,100,0,0,0,0
14,9,11,18,41,43,43,12
26,13,37,24,20,42,29,48
36,25,21,26,28,30,38,19
0,0,0,0,31,33,34,37
21,20,16,39,0,0,0,0
44,44,39,2,36,30,29,48
2,0,1,4,2,1,3,1
6,8,7,0,1,3,1,9
5,10,6,6,11,7,6,2
2,1,0,2,0,0,0,0
27,12,17,27,5,4,1,0
7,10,4,7,4,2,2,0
1,0,2,0,4,6,2,3
0,0,0,0,3,1,8,3
0,0,0,0,51,40,64,96
36,30,27,0,8,11,8,9
1,2,4,1,7,8,12,2
30,33,25,14,1,1,1,0
0,0,0,0,18,20,16,7
0,0,0,0,7,6,4,1
12,12,10,34,39,44,51,17
8,11,11,11,4,9,9,6
0,0,0,0,24,16,19,8
1,8,7,3,40,29,40,17
6,2,4,6,20,14,16,19
2,4,1,5,1,1,0,0
8,5,6,1,60,64,63,47
28,32,32,32,0,0,0,0
8,5,9,4,1,1,1,3
7,5,6,5,8,8,5,8
0,1,0,3,12,16,17,3
2,2,3,0,0,0,0,0
0,2,0,2,0,0,0,0
1,4,1,1,65,57,70,107
8,5,4,21,24,22,9,6
14,16,19,15,0,0,0,0
12,7,4,4,0,1,0,0
11,14,15,18,15,14,12,33
61,45,62,185,22,19,20,3
0,0,0,0,14,25,17,18
0,0,0,0,8,4,8,5
6,4,2,2,3,5,2,1
0,0,0,0,0,0,0,0
2,0,1,0,57,44,59,40
35,46,48,5,10,19,14,2
0,0,0,0,8,4,2,0
11,19,11,67,0,0,0,0
