"sim5_repl1_input","sim5_repl1_high","sim5_repl1_med","sim5_repl1_low","sim5_repl2_input","sim5_repl2_high","sim5_repl2_med","sim5_repl2_low"
13,9,9,2,18,14,19,14
0,0,0,0,15,11,7,33
47,29,52,32,6,16,13,23
11,10,6,1,1,6,2,1
4,5,3,1,7,8,11,16
7,15,14,18,1,0,1,1
22,18,21,14,24,35,31,0
1,2,0,0,30,24,20,15
60,54,46,64,0,0,0,0
1,4,0,7,10,12,11,4
19,33,30,11,8,9,4,1
2,2,2,1,26,28,21,13
1,4,10,5,13,8,6,26
1,0,2,2,20,22,40,21
6,11,13,6,20,20,17,22
6,1,3,9,1,2,1,2
3,9,3,0,0,0,0,0
13,12,19,63,0,0,0,0
65,54,68,38,3,10,5,15
55,72,50,1,0,1,1,0
19,36,26,34,1,0,2,0
0,0,0,0,1,1,0,0
30,39,35,22,0,0,0,0
12,16,24,27,28,20,21,67
14,9,14,10,81,110,76,215
83,83,79,87,21,11,16,17
0,0,0,0,2,3,6,0
0,0,0,0,9,10,9,2
1,0,3,0,8,20,8,23
2,2,2,4,7,9,11,7
79,108,69,10,39,39,33,27
26,43,32,113,41,27,27,29
7,9,8,3,0,0,0,0
18,25,19,19,16,6,7,2
9,18,17,47,9,10,9,3
9,4,14,25,34,37,30,39
23,22,31,53,3,1,3,5
65,52,43,51,2,2,2,7
9,3,1,9,34,50,39,26
5,5,4,3,1,1,2,3
42,54,31,47,0,0,0,0
13,8,10,4,0,0,0,1
1,1,1,1,62,60,92,46
0,0,0,0,0,0,0,0
2,2,6,0,7,16,12,5
1,0,3,1,13,15,13,2
72,90,79,49,4,3,4,0
0,0,0,0,0,1,0,3
2,2,1,0,36,41,30,96
38,43,47,49,7,14,5,10
0,0,0,0,6,6,2,2
9,8,9,2,1,2,3,1
0,0,1,0,8,7,3,0
66,60,81,95,1,0,3,1
6,7,1,5,0,0,0,0
68,74,66,72,20,10,10,48
18,13,22,19,43,46,38,68
9,10,11,2,17,15,24,9
5,7,10,6,0,0,0,0
1,1,1,5,0,0,0,0
10,4,2,1,13,11,13,0
6,6,9,3,67,61,64,53
37,49,47,55,15,15,18,27
22,12,22,7,9,2,5,4
3,4,0,0,9,11,7,4
3,3,3,10,22,28,37,10
24,19,20,2,46,40,36,18
46,38,56,10,35,28,25,43
1,0,1,0,0,0,0,0
25,9,22,8,2,0,2,2
5,12,6,14,6,8,2,1
7,4,2,0,3,6,4,17
0,0,1,0,40,32,38,22
42,34,49,104,17,8,12,2
0,1,0,0,0,0,0,0
20,26,21,11,1,0,0,0
25,28,19,7,20,23,11,45
0,0,0,0,10,13,7,23
8,9,7,4,7,10,4,6
5,5,2,0,86,53,73,163
8,7,6,24,8,12,12,15
5,4,3,7,36,49,29,14
0,1,0,0,3,1,2,2
58,62,53,51,17,15,17,26
43,39,44,63,0,1,0,0
0,0,0,0,2,1,5,1
0,0,0,0,0,0,0,0
49,40,33,217,0,0,0,0
7,7,4,15,2,4,3,2
1,0,0,0,21,12,20,65
0,0,0,0,51,56,54,104
0,0,1,0,17,19,21,18
0,0,0,0,0,0,1,0
0,0,0,1,10,15,11,3
34,33,22,17,4,0,6,1
24,15,18,18,9,7,11,16
14,10,14,3,3,4,5,2
1,0,2,0,2,2,0,1
18,26,21,30,0,1,2,2
12,21,9,23,30,36,18,4
12,14,8,1,1,3,3,3
2,4,0,8,0,0,0,0
36,33,28,2,10,8,9,2
48,29,38,95,25,37,32,5
20,16,21,14,9,10,8,15
14,16,7,9,37,32,34,11
0,0,0,0,16,24,19,36
5,5,4,2,99,108,92,115
17,17,26,12,5,6,2,5
40,40,39,61,11,8,14,18
0,0,0,0,10,9,4,18
12,10,6,9,21,15,27,14
45,45,37,22,10,5,4,4
8,4,4,2,0,1,1,1
10,6,10,8,34,17,27,8
11,7,12,14,50,71,64,9
6,4,6,6,71,48,71,34
1,0,1,0,32,45,29,6
32,46,39,9,43,39,51,87
0,0,0,0,15,12,16,17
45,45,29,10,86,105,85,91
13,20,13,13,2,5,4,1
4,3,2,3,25,21,33,46
15,5,15,4,14,7,8,1
0,0,0,0,3,3,6,8
0,2,1,0,69,56,65,57
25,19,23,38,40,58,39,12
3,5,7,8,35,22,29,29
9,4,3,15,0,0,0,0
8,8,5,2,12,13,11,14
22,16,19,31,0,0,0,0
4,5,3,11,1,0,1,0
58,39,46,61,0,0,0,0
0,0,0,0,1,0,2,0
0,0,0,0,4,5,4,11
3,2,2,4,2,0,5,3
0,3,3,9,16,24,29,18
47,51,69,16,1,1,1,2
15,14,20,4,4,0,2,5
5,5,5,6,20,26,24,49
1,0,0,3,0,2,0,0
13,9,15,9,6,7,10,15
41,41,36,99,1,0,0,1
3,3,3,0,14,13,15,24
72,59,78,102,0,0,0,0
47,57,50,130,102,80,100,99
10,9,6,14,4,4,1,1
8,3,7,4,25,33,31,8
