"sim14_repl1_input","sim14_repl1_high","sim14_repl1_med","sim14_repl1_low","sim14_repl2_input","sim14_repl2_high","sim14_repl2_med","sim14_repl2_low"
9,12,6,17,29,19,18,24
0,0,0,0,10,19,20,11
43,48,37,14,11,13,10,5
5,11,8,5,3,3,2,0
5,3,2,2,9,10,13,12
11,13,11,30,0,1,0,0
21,19,17,23,22,24,25,7
1,0,3,1,19,16,22,8
57,51,60,59,0,0,0,0
7,3,8,6,6,8,6,17
29,31,28,35,9,8,0,5
1,3,6,0,29,24,17,10
8,4,3,0,15,12,6,28
1,1,3,2,20,40,31,13
7,12,6,7,14,14,24,13
3,1,2,1,2,3,4,0
3,3,1,1,0,0,0,0
21,17,21,17,0,0,0,0
68,71,65,52,7,3,8,2
67,47,73,19,0,1,0,0
23,28,31,4,1,1,3,0
0,0,0,0,1,0,0,0
42,35,44,38,0,0,0,0
23,20,27,13,18,27,25,29
12,13,10,13,101,100,74,35
78,109,82,38,19,22,24,8
0,0,0,0,5,7,7,8
0,0,1,1,6,6,9,20
0,2,2,1,10,11,6,1
2,0,1,1,5,9,5,24
72,83,74,20,40,32,47,51
45,43,34,130,32,33,29,66
7,8,3,8,0,0,0,0
19,25,18,41,5,7,4,3
20,24,16,25,6,5,16,46
15,11,10,1,32,31,36,53
18,17,13,38,3,2,3,1
50,48,54,43,4,3,4,2
0,1,5,0,29,39,26,10
1,2,4,1,1,2,0,16
45,45,37,72,0,0,0,0
12,18,10,15,0,0,0,0
3,2,1,0,78,84,80,67
0,0,0,0,0,0,0,0
5,4,4,1,7,12,15,12
2,1,2,3,13,8,9,15
82,102,97,17,3,7,4,7
0,0,0,0,3,0,1,5
3,2,6,6,22,40,21,43
35,25,40,64,5,13,9,16
0,0,0,0,5,4,4,2
12,3,8,5,3,2,4,1
0,0,0,2,7,1,5,1
64,71,76,53,0,2,2,0
3,5,6,12,0,0,0,0
68,70,51,62,12,19,11,22
10,13,21,8,44,34,37,30
13,13,12,32,17,26,18,0
8,9,13,13,0,0,0,0
1,1,0,0,0,1,1,0
5,5,5,13,12,9,11,23
7,10,9,4,72,57,74,137
47,44,49,69,20,17,12,28
18,31,24,52,4,6,5,3
7,6,8,0,9,8,7,1
2,1,1,0,30,33,33,13
19,14,17,10,31,26,22,71
52,40,52,21,34,33,29,13
0,0,0,0,0,0,0,0
17,11,15,3,0,0,0,1
14,12,11,5,9,10,7,15
2,2,3,7,3,4,2,2
0,0,0,0,36,32,41,17
42,32,31,49,10,9,12,42
0,0,0,0,0,0,0,0
25,15,19,3,0,1,1,0
26,24,16,90,19,22,17,1
0,0,0,0,11,19,8,7
7,11,6,5,10,5,4,3
5,7,4,11,69,74,74,20
3,7,8,6,16,11,17,6
4,3,3,5,34,28,36,16
0,0,0,1,3,4,2,0
57,72,63,78,15,19,18,1
38,60,41,49,2,1,1,0
0,0,0,0,1,5,0,2
0,0,0,0,0,0,0,0
35,29,46,145,0,0,0,0
13,5,2,3,4,2,3,4
0,0,0,0,18,20,22,4
0,0,0,0,41,53,35,95
1,1,0,1,12,7,17,32
0,0,0,0,1,3,0,0
1,1,1,1,12,7,15,10
24,32,29,14,1,3,4,3
13,20,14,49,18,9,5,2
9,9,9,6,3,4,0,0
2,1,0,1,0,3,0,3
18,28,24,15,3,3,3,0
12,12,12,1,31,24,27,67
10,14,9,5,4,1,0,0
5,0,4,1,0,1,0,0
22,28,23,1,6,7,17,22
36,47,35,173,30,32,32,27
18,24,15,13,11,4,6,23
15,12,11,26,32,29,34,39
0,0,0,0,25,22,15,19
2,5,2,5,84,99,83,48
25,30,19,0,2,3,5,0
43,51,40,18,12,8,13,8
0,0,0,0,7,11,6,1
10,8,12,6,25,10,19,24
47,54,47,84,9,7,6,8
3,3,6,4,3,1,0,0
10,13,11,27,21,26,30,5
10,6,8,5,46,51,65,9
3,3,3,19,60,57,33,76
0,0,2,1,37,31,31,96
53,37,32,102,47,38,45,57
0,0,0,0,9,9,13,9
51,33,39,63,92,116,67,23
20,20,14,22,10,4,5,5
4,2,2,2,45,36,24,33
8,10,8,14,8,5,22,4
1,0,0,0,11,1,8,13
1,2,1,0,62,51,52,84
18,21,15,14,42,37,36,60
4,10,11,2,27,35,32,56
9,4,6,7,0,0,0,0
2,4,3,9,5,8,12,7
20,17,18,34,0,0,0,0
6,7,7,8,1,2,1,0
48,44,38,61,0,0,0,0
0,0,0,0,0,2,1,0
0,0,0,0,5,6,8,2
3,5,2,6,1,4,5,5
1,1,4,5,19,22,40,47
56,38,63,81,1,2,0,2
23,18,14,24,8,2,4,0
5,7,12,9,17,16,16,14
0,0,0,0,2,1,1,2
9,4,17,20,4,6,12,4
42,24,59,67,2,1,0,0
2,2,3,1,14,14,17,8
74,49,70,45,0,1,0,0
62,54,71,174,73,85,96,101
12,21,17,15,1,1,6,3
5,11,4,9,29,20,19,39
0,0,0,0,32,21,20,3
24,19,21,25,18,11,16,22
13,11,16,12,2,3,1,1
8,10,7,8,0,0,0,0
0,0,0,0,4,3,5,2
53,60,81,65,3,5,12,5
4,5,8,2,12,7,4,1
24,13,25,21,34,17,31,14
1,2,3,2,0,0,0,0
20,12,14,20,6,6,16,8
27,19,22,32,2,2,1,3
7,12,8,2,0,5,7,2
3,1,5,1,20,41,30,15
12,8,8,6,29,29,33,32
31,41,32,33,26,17,21,15
21,21,33,20,17,16,9,22
1,2,3,2,19,25,15,11
24,36,27,20,34,35,55,54
5,4,4,3,1,0,3,0
1,0,1,0,0,0,0,0
8,13,7,6,2,3,1,10
1,1,0,2,1,0,3,0
1,0,2,0,44,41,46,57
1,0,2,5,7,3,10,9
37,58,38,42,14,15,14,10
20,32,25,16,45,42,34,158
0,4,2,2,40,58,33,54
0,0,0,0,9,5,8,20
8,11,9,6,50,57,52,55
0,0,0,0,23,22,20,44
66,80,67,68,16,20,25,10
5,3,3,3,1,1,2,3
10,8,9,7,0,0,0,0
4,7,6,8,68,61,70,15
7,7,11,1,22,28,26,25
22,30,22,21,0,0,0,0
31,48,34,12,7,4,7,3
19,14,17,19,5,2,5,5
10,6,5,1,0,0,0,0
2,1,4,8,0,0,0,0
0,0,0,0,34,43,39,25
12,12,14,4,31,23,21,8
0,0,0,1,0,0,0,0
0,0,0,0,0,2,0,1
2,0,1,0,20,19,11,12
0,2,3,2,0,0,0,0
1,0,0,2,5,1,4,5
0,0,1,0,4,2,7,0
13,14,13,25,3,1,3,5
20,22,15,66,19,23,22,4
3,3,3,0,9,3,3,2
6,9,7,1,0,0,0,0
6,3,10,13,2,6,8,1
12,10,14,15,23,36,31,20
4,4,5,2,1,3,3,4
4,2,8,1,0,1,0,1
18,19,21,9,6,5,3,2
8,2,5,5,8,18,15,14
8,7,7,4,22,22,25,10
6,6,10,4,10,19,11,3
0,0,0,0,0,0,0,0
60,56,48,67,12,7,11,6
36,34,45,29,16,10,23,7
1,5,2,0,13,5,14,7
0,0,0,0,6,9,3,6
35,36,27,43,15,22,14,8
0,0,0,0,66,53,57,36
36,24,28,21,4,3,5,6
101,94,95,58,13,13,9,8
22,27,28,3,0,1,0,3
3,2,2,0,8,11,6,4
64,65,59,40,6,2,1,2
0,2,1,0,24,19,24,24
1,2,3,0,2,5,2,4
5,0,3,7,26,30,19,56
32,27,35,44,38,47,45,55
2,2,0,1,0,5,2,0
25,14,26,15,7,8,9,1
1,3,1,4,15,23,25,0
2,0,0,2,0,0,0,0
48,42,63,109,21,14,19,14
11,17,14,13,46,51,37,124
0,0,0,0,6,4,3,5
21,23,23,96,20,22,29,9
14,16,18,34,2,0,0,0
18,29,22,1,1,1,0,0
0,0,0,0,45,52,48,40
6,6,10,2,0,1,0,0
1,2,1,2,3,2,3,4
0,0,0,0,0,0,0,0
1,2,1,6,14,11,12,7
0,0,0,0,5,4,1,7
37,28,32,36,14,16,7,11
1,1,0,2,1,2,0,0
15,15,14,13,1,1,0,1
2,2,1,3,2,1,1,2
7,9,11,30,9,11,5,5
39,36,33,27,32,19,13,27
26,26,20,29,0,1,2,0
12,8,9,1,14,17,19,6
29,28,37,1,27,30,22,45
0,0,0,1,13,14,13,3
0,0,0,0,6,6,7,2
50,48,47,23,0,0,0,0
0,0,0,0,19,35,25,5
22,14,17,47,48,38,40,46
9,16,24,14,21,18,9,11
73,96,68,170,4,6,5,10
6,10,16,8,48,43,62,9
7,7,3,2,2,3,0,0
1,0,3,0,44,24,38,66
0,1,1,0,7,7,5,8
0,0,0,0,15,18,17,11
2,0,0,2,0,0,1,0
6,6,4,4,5,5,5,4
35,28,43,38,67,55,65,49
14,14,16,7,30,19,24,14
2,1,1,0,4,7,2,1
13,12,14,13,3,0,3,0
5,5,5,5,3,0,0,2
0,1,0,0,13,11,13,2
8,8,5,43,4,6,8,8
0,0,0,0,1,2,1,3
0,0,0,0,94,76,92,132
22,19,19,57,0,0,0,1
19,5,12,7,7,10,6,22
0,0,0,0,8,14,9,4
1,1,2,0,0,0,0,0
14,10,6,1,0,0,0,0
1,1,1,1,2,2,0,3
1,1,0,0,45,46,38,37
4,2,1,1,0,0,0,0
19,19,19,9,1,1,0,1
4,1,6,12,3,2,3,4
0,0,0,0,0,0,0,0
58,44,49,68,0,0,0,0
10,10,13,7,3,1,6,1
29,33,24,6,19,20,30,9
1,1,2,1,12,10,8,38
6,4,13,21,0,0,0,0
6,10,8,8,0,3,0,0
0,0,0,0,64,45,77,26
33,25,15,47,22,31,30,12
1,3,0,0,0,0,0,0
1,2,1,1,0,2,4,1
28,23,23,45,6,4,12,7
85,96,96,42,0,0,0,0
7,8,16,5,48,38,48,39
32,21,17,29,33,22,21,7
30,31,29,15,33,26,47,63
0,0,0,0,41,32,45,15
15,15,13,24,0,0,0,0
41,36,29,61,29,26,29,16
2,0,2,0,3,4,5,9
6,9,6,1,0,4,0,4
4,5,2,9,7,3,8,6
0,1,2,1,0,0,0,0
18,17,23,2,2,7,3,3
9,9,6,1,4,5,5,0
2,1,0,1,8,4,5,2
0,0,0,0,3,6,4,1
0,0,0,0,53,41,64,51
27,35,30,30,5,4,13,7
3,4,1,5,11,8,16,5
34,24,26,11,0,2,1,2
0,0,0,0,16,17,13,30
0,0,0,0,2,4,3,8
15,12,10,3,47,72,44,105
10,13,9,12,13,18,6,2
0,0,0,0,15,17,23,1
5,5,4,3,33,59,22,23
6,4,10,7,19,19,22,27
3,4,2,5,1,0,0,1
8,6,5,14,82,54,55,22
24,38,28,2,0,0,0,0
5,7,3,25,0,1,1,0
12,4,6,21,8,9,16,10
0,0,0,0,16,23,14,13
0,1,2,4,1,1,2,0
0,0,1,0,0,0,0,0
1,2,1,0,75,69,59,98
3,3,2,13,16,20,14,39
9,11,7,13,0,0,0,0
9,8,6,3,0,0,0,0
15,18,23,3,15,16,18,8
63,67,47,81,16,21,20,10
0,0,0,0,18,14,17,1
0,0,0,0,5,8,3,2
6,6,10,5,2,5,1,2
0,1,0,0,0,0,0,0
2,1,0,1,59,57,38,4
34,32,45,10,21,14,13,3
0,0,0,0,4,7,4,5
19,14,15,17,0,0,0,0
18,12,18,23,7,8,4,2
0,1,1,0,53,71,66,98
2,2,1,3,0,0,0,0
29,39,32,50,0,1,1,1
5,3,3,2,1,0,2,2
158,184,150,199,15,10,12,39
4,1,1,10,1,0,1,1
12,12,10,35,33,39,31,26
55,66,50,52,41,51,34,21
48,63,56,10,16,14,8,40
13,10,19,11,13,11,12,8
0,0,0,0,23,19,15,6
0,0,0,0,32,26,30,8
0,0,0,0,4,8,8,0
5,3,5,0,34,28,28,11
4,3,3,2,27,13,33,71
123,111,132,43,69,58,55,36
60,50,49,105,66,74,57,13
16,15,11,4,10,13,10,2
0,0,0,0,6,5,8,3
3,3,3,3,31,46,26,11
5,1,4,11,8,2,2,4
5,2,2,3,7,7,6,5
5,7,7,0,12,12,15,28
1,0,0,1,3,6,8,3
14,11,6,1,9,14,8,5
3,6,2,0,59,44,71,85
3,4,1,14,5,3,6,2
37,30,27,27,27,19,18,48
0,0,0,0,1,2,3,2
55,49,47,3,0,0,0,0
13,12,18,3,32,42,41,11
38,40,28,89,67,56,76,119
0,0,0,0,5,6,7,0
46,72,39,16,5,6,8,1
14,23,23,3,2,10,7,1
18,16,11,15,59,73,79,18
20,28,28,56,46,33,30,59
3,3,5,0,0,0,0,0
38,46,26,13,6,4,2,2
2,1,1,3,4,5,4,18
1,0,0,0,30,44,33,17
7,4,2,0,0,0,0,0
24,18,15,33,110,133,107,218
3,3,5,3,57,80,45,21
60,67,64,72,40,46,34,21
19,19,13,1,12,7,8,2
2,0,1,1,30,32,30,17
6,2,3,7,4,4,5,12
26,18,16,22,66,59,72,234
25,29,23,19,2,2,2,0
0,2,3,1,6,8,6,12
14,12,17,26,0,0,0,0
9,9,7,4,0,0,0,0
1,6,1,2,0,0,0,0
64,98,50,31,0,0,0,0
