"sim6_repl1_input","sim6_repl1_high","sim6_repl1_med","sim6_repl1_low","sim6_repl2_input","sim6_repl2_high","sim6_repl2_med","sim6_repl2_low"
6,7,14,7,23,21,25,25
0,0,0,0,8,16,6,17
35,48,33,33,9,10,12,4
7,7,8,11,3,1,5,2
7,6,4,8,6,12,6,18
21,11,9,17,0,0,1,0
16,23,12,19,23,21,27,11
0,2,2,1,22,26,24,17
60,58,58,77,0,0,0,0
6,6,4,2,6,8,10,0
34,29,24,7,13,7,9,2
4,2,3,6,31,17,26,55
1,7,7,4,16,16,8,13
4,2,5,5,48,25,31,14
11,9,8,18,16,22,15,36
3,5,1,5,1,1,1,1
3,1,4,8,0,0,0,0
19,18,18,7,0,0,0,0
58,56,62,17,5,8,4,8
50,64,61,108,1,0,0,0
25,16,34,10,1,0,0,1
0,0,0,0,0,0,0,0
27,31,43,35,0,0,0,0
15,22,12,46,20,25,21,11
13,12,18,21,80,82,108,34
93,104,105,65,26,15,18,18
0,0,0,0,6,3,4,2
0,0,1,0,9,6,7,12
2,1,1,1,11,12,7,4
1,3,0,1,10,9,8,4
82,86,80,77,52,44,38,14
42,47,34,74,34,33,46,51
10,13,8,10,0,0,0,0
25,20,21,7,11,6,8,4
9,22,22,14,11,6,8,15
10,3,10,5,38,39,46,52
26,21,26,20,3,4,4,4
50,48,64,54,1,4,2,2
2,7,1,2,28,19,24,42
2,2,4,1,1,5,4,5
44,44,36,113,0,0,0,2
19,11,12,15,1,2,0,0
3,2,1,1,80,61,79,41
0,0,0,0,0,0,0,0
2,2,1,0,10,5,12,13
2,2,1,4,12,11,9,14
87,104,92,134,5,3,4,2
0,0,0,0,2,2,0,0
2,4,2,3,31,20,21,24
53,26,53,22,8,8,6,2
0,0,0,0,5,9,7,8
4,4,9,16,6,2,2,1
1,0,2,0,9,5,3,2
61,78,60,125,2,1,1,0
2,3,8,5,0,0,0,0
70,55,59,6,19,13,18,20
21,13,20,21,45,37,37,39
10,14,10,14,15,8,12,21
9,10,6,3,0,0,0,0
2,0,1,2,0,1,0,0
2,6,4,7,7,17,10,4
10,3,12,17,77,60,67,90
39,47,51,43,19,18,12,26
20,12,19,21,4,3,3,5
3,2,2,2,6,6,7,7
6,1,3,0,27,22,36,15
15,16,18,27,34,19,51,36
39,31,55,20,34,28,33,15
0,0,0,0,0,0,0,0
13,11,17,19,0,0,2,1
14,10,11,2,14,2,13,5
4,5,1,5,4,3,1,1
0,1,0,0,41,34,31,12
43,48,38,110,9,10,10,4
0,1,0,0,0,0,0,0
19,21,28,17,0,0,0,0
