"sim1_repl1_input","sim1_repl1_high","sim1_repl1_med","sim1_repl1_low","sim1_repl2_input","sim1_repl2_high","sim1_repl2_med","sim1_repl2_low"
10,12,13,5,22,23,20,6
0,0,0,0,7,18,15,15
36,24,40,32,13,6,4,10
7,3,5,3,2,0,2,6
3,2,10,4,11,12,11,1
14,7,13,8,0,0,1,1
28,19,19,25,21,23,24,58
0,1,1,0,16,22,25,27
57,56,74,53,0,0,0,0
3,11,7,0,7,7,8,1
20,22,34,37,9,10,10,12
3,2,4,1,22,19,31,2
4,8,2,5,12,13,9,8
0,2,2,0,22,37,33,39
6,6,9,14,24,19,14,4
4,4,1,1,1,1,1,0
2,6,1,7,0,0,0,0
15,11,22,8,0,0,0,0
55,61,51,61,6,7,4,5
66,65,65,40,0,0,1,2
30,31,28,46,3,0,0,0
0,0,0,0,0,0,1,0
38,37,29,9,0,0,0,0
16,21,22,3,36,21,18,42
12,18,12,7,75,90,116,32
89,73,86,24,12,20,17,18
0,0,0,0,9,5,2,10
0,0,0,0,7,6,6,11
2,1,2,1,8,9,17,6
4,0,1,5,7,11,3,3
60,86,80,44,31,35,28,102
29,43,40,22,31,46,37,6
2,7,9,3,0,0,0,0
19,24,22,4,9,11,9,9
21,18,12,28,10,8,7,4
7,11,14,12,26,31,27,45
23,25,24,21,2,6,0,4
60,54,53,3,4,1,6,1
4,6,2,0,31,34,25,1
5,3,4,1,2,2,4,1
46,34,37,26,0,0,0,0
15,7,15,12,1,0,1,0
2,0,0,0,80,66,76,59
0,0,1,0,0,0,0,0
1,0,2,3,9,13,16,3
3,1,3,3,12,11,17,6
86,79,98,109,1,6,2,0
0,0,0,0,1,1,0,1
1,3,4,8,17,40,25,6
48,23,44,30,4,8,6,13
0,0,0,0,8,5,1,1
8,8,11,1,4,0,2,2
0,4,1,1,7,6,6,26
68,80,55,107,2,1,0,0
8,7,3,1,0,0,0,0
62,56,53,234,16,18,12,15
15,17,13,3,47,33,42,11
11,15,10,3,21,15,19,9
7,5,7,19,0,0,0,0
0,0,1,0,0,0,0,0
6,9,4,0,8,12,12,19
9,11,12,10,74,63,76,76
54,47,46,48,18,10,16,4
26,37,22,4,5,2,9,1
5,8,2,3,10,10,6,3
2,3,1,1,24,21,25,75
19,23,17,8,32,34,33,7
46,60,40,3,25,31,24,14
0,0,2,0,0,0,0,0
15,10,13,5,1,1,0,0
14,23,7,19,10,6,11,1
0,4,6,6,4,2,3,3
0,0,0,0,39,24,43,25
36,50,26,5,9,11,8,8
0,0,0,0,0,0,0,0
21,25,23,107,0,0,0,0
27,17,21,12,15,21,14,6
0,0,0,0,11,13,9,5
9,10,6,17,3,7,9,7
3,1,4,3,55,60,38,31
8,9,8,10,16,12,11,17
3,1,6,1,27,33,33,12
0,1,0,1,2,1,6,4
61,60,55,44,13,27,19,4
55,43,31,29,1,0,0,2
0,0,0,0,1,0,1,5
0,0,0,0,0,0,0,0
34,37,60,77,0,0,0,0
5,6,2,13,2,6,3,2
0,1,1,0,19,22,4,25
0,0,0,0,40,48,53,16
1,0,2,2,6,7,23,48
0,0,0,0,0,0,0,0
0,0,0,1,18,8,15,7
26,26,22,70,1,3,2,2
18,21,27,27,12,6,12,16
10,9,9,23,4,4,2,0
4,0,3,2,3,4,4,1
23,23,21,15,2,1,0,0
16,10,18,1,23,34,19,31
11,8,14,14,1,0,5,2
3,7,5,2,0,0,0,0
22,26,30,24,16,7,9,2
46,40,42,20,26,28,22,59
14,25,14,36,12,9,8,16
10,15,10,4,23,34,40,41
0,0,0,0,22,21,20,39
7,3,1,1,104,90,100,19
27,28,20,14,3,6,3,0
41,42,47,57,11,15,8,1
0,0,0,0,11,3,7,15
4,15,6,6,16,10,15,24
40,49,40,26,7,6,5,12
5,11,5,4,0,1,0,0
13,21,8,15,27,23,20,1
4,19,9,11,54,49,49,30
4,5,5,2,57,56,35,116
0,0,0,0,34,41,31,38
49,48,38,66,55,49,31,62
0,0,0,0,8,8,13,61
52,40,41,73,82,88,70,132
23,25,16,46,4,7,6,2
5,4,5,1,20,26,20,11
9,5,11,1,9,15,7,6
1,0,0,0,9,4,9,1
4,2,1,2,45,56,54,73
24,20,10,64,34,46,38,28
5,10,9,12,22,29,32,27
7,9,1,13,0,1,0,0
5,1,5,4,2,13,7,10
22,21,23,22,0,0,0,0
6,3,4,1,0,0,2,0
60,52,51,61,0,0,0,0
0,0,0,0,0,0,1,2
0,0,0,0,7,6,7,10
6,3,3,0,6,3,3,17
2,4,4,3,28,24,31,26
54,43,48,84,1,1,0,0
15,18,7,36,5,6,6,6
4,7,3,8,13,29,16,11
1,0,0,0,1,1,2,1
20,14,16,11,4,11,2,10
37,58,31,102,0,0,0,0
1,4,2,4,17,15,15,9
71,102,59,13,0,0,0,0
49,38,71,119,105,101,88,160
13,15,13,11,3,4,0,4
7,2,1,7,25,25,32,53
0,0,0,0,19,17,26,3
18,21,22,27,12,14,14,3
12,14,17,10,0,2,1,6
9,7,8,1,0,0,0,0
0,0,0,0,1,0,6,11
75,64,77,24,3,8,7,6
2,7,3,3,5,1,6,2
18,29,14,8,26,21,36,18
3,4,3,1,0,0,0,0
14,15,24,16,4,10,7,22
20,24,21,15,1,2,1,0
7,7,7,8,1,8,6,3
8,5,5,6,40,45,28,30
11,8,7,4,35,32,22,25
42,37,32,30,14,13,9,52
20,30,26,12,11,9,14,28
4,2,1,1,24,19,20,17
23,27,37,19,41,33,41,7
6,7,4,0,0,1,0,2
0,0,0,0,0,0,0,0
8,7,2,1,3,2,3,12
2,0,0,0,0,2,2,1
6,0,0,2,53,37,42,32
1,3,2,0,7,6,9,5
46,32,43,76,17,18,11,10
29,31,35,20,46,45,42,12
2,7,0,2,44,29,50,187
0,0,0,0,5,8,13,2
5,4,3,6,43,40,58,18
0,0,0,0,15,23,17,7
79,60,62,22,25,28,16,7
3,8,4,8,3,0,0,0
11,14,13,13,0,0,0,0
2,6,3,2,67,70,54,63
6,8,9,1,29,24,27,73
20,17,34,5,0,0,0,0
29,50,47,16,10,5,10,5
19,15,11,30,1,8,1,2
8,4,4,29,0,0,0,0
5,6,4,1,0,0,0,0
0,0,0,0,32,33,36,22
17,13,20,3,22,21,19,57
2,3,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,2,0,13,19,9,15
1,1,3,1,0,0,0,0
3,0,3,1,5,5,4,3
0,1,0,3,3,3,4,4
20,10,16,23,1,4,0,0
23,18,18,16,17,13,25,13
2,2,1,3,1,5,3,9
1,4,6,2,0,0,0,0
7,8,9,11,3,8,3,3
10,7,8,8,45,31,31,38
4,2,1,5,2,2,1,8
4,4,3,0,0,1,0,1
13,13,16,13,6,5,4,1
4,6,5,6,12,12,12,25
5,10,6,2,22,18,21,20
8,3,9,7,9,8,9,15
0,0,0,0,1,0,1,0
64,65,57,3,10,15,14,12
39,27,30,55,18,25,21,7
0,2,2,5,8,8,6,6
0,0,0,0,6,5,6,1
40,49,30,9,10,20,16,3
0,0,0,0,63,53,74,235
35,27,21,19,6,5,4,17
87,97,87,32,13,14,12,9
31,28,18,5,1,2,1,1
1,2,3,0,8,6,6,1
66,62,63,31,2,2,6,3
1,2,3,0,22,23,20,5
2,2,1,1,3,2,2,1
1,6,1,0,28,18,19,31
32,45,31,3,34,39,42,102
3,0,4,2,2,3,3,0
27,21,33,46,8,7,9,3
7,4,1,4,14,22,10,12
2,3,1,3,0,0,0,0
54,46,56,54,22,20,16,13
18,20,14,24,46,41,35,60
0,0,0,0,4,7,4,5
34,31,21,45,30,26,27,15
14,12,15,5,1,2,0,0
29,23,13,19,0,0,1,0
0,0,0,0,59,63,50,109
6,5,10,8,1,1,0,2
0,1,1,0,3,3,4,6
0,0,0,0,0,0,0,0
5,2,3,4,12,14,7,14
0,0,0,0,6,6,3,5
37,31,44,108,6,9,7,3
0,1,1,0,1,2,1,2
22,10,25,16,0,1,0,0
2,1,2,1,2,0,1,0
13,11,11,0,6,6,11,8
32,38,28,43,16,18,26,6
13,19,25,24,1,3,2,1
7,4,4,2,19,14,20,15
30,42,24,0,28,32,41,17
1,1,1,0,15,13,6,42
0,0,0,0,4,9,3,11
