"sim18_repl1_input","sim18_repl1_high","sim18_repl1_med","sim18_repl1_low","sim18_repl2_input","sim18_repl2_high","sim18_repl2_med","sim18_repl2_low"
6,12,7,18,22,18,24,42
0,0,0,0,13,15,11,2
28,34,49,10,13,16,8,3
5,8,9,1,1,1,1,1
4,7,2,2,4,9,10,16
18,13,11,7,0,1,3,2
16,14,23,23,16,13,13,28
0,2,3,0,22,26,20,17
63,41,71,116,0,0,0,0
5,6,6,2,7,10,6,9
25,32,28,62,10,5,10,3
3,3,1,0,33,22,39,28
6,3,0,26,11,9,9,15
3,0,2,0,34,28,42,60
9,11,7,7,13,18,21,22
1,5,2,3,3,2,2,0
3,3,3,6,0,0,0,0
22,10,17,29,0,0,0,0
51,57,71,1,3,8,5,18
79,53,76,140,1,0,0,1
36,30,23,20,0,0,2,0
0,0,0,0,0,0,0,0
41,30,34,23,0,0,0,0
23,15,18,47,20,21,21,14
15,9,13,45,95,83,87,49
91,78,83,260,20,17,15,0
0,0,0,0,5,1,3,7
0,0,0,0,8,4,8,6
3,3,1,7,9,6,9,5
3,1,2,0,7,7,10,17
89,65,76,81,36,38,24,8
40,56,34,73,33,30,47,2
5,10,14,1,0,0,0,0
15,26,18,12,9,9,10,18
17,14,13,5,11,4,6,3
10,16,7,2,31,43,31,29
22,22,25,30,1,4,4,4
43,59,42,22,1,1,3,0
4,6,0,4,44,27,28,37
4,2,2,3,2,3,4,0
44,39,44,20,0,0,0,0
20,15,12,20,0,0,0,0
1,1,3,1,69,77,70,28
0,0,0,0,0,0,0,0
2,3,1,1,9,6,9,9
3,2,2,1,7,8,5,13
101,92,91,123,4,6,3,5
0,0,0,0,0,2,1,1
5,4,0,8,27,36,25,45
28,50,31,19,4,2,6,5
0,0,0,0,7,12,5,7
6,5,8,4,2,2,6,2
0,0,2,1,2,6,4,6
86,89,58,57,0,3,0,0
6,6,5,6,0,0,0,0
76,67,59,70,12,10,14,15
22,18,16,19,39,41,40,11
8,13,11,6,17,17,17,12
6,7,10,5,0,1,0,0
2,2,0,0,0,1,0,0
3,6,5,5,8,10,11,9
12,9,9,6,62,69,71,134
46,39,53,4,18,12,16,12
21,23,19,17,8,4,3,10
4,3,6,0,11,8,3,33
2,5,0,3,27,33,23,21
15,14,19,31,23,32,30,31
64,44,47,39,30,22,28,23
0,0,2,3,0,0,0,0
18,16,14,12,0,0,1,1
5,12,11,12,14,10,12,1
3,3,6,2,4,7,2,0
0,1,0,0,35,34,55,38
47,30,42,27,11,14,12,10
0,1,0,0,0,0,0,0
16,31,22,32,0,0,0,0
20,25,12,21,17,12,17,38
0,0,0,0,15,12,13,6
13,7,11,6,7,5,9,6
3,2,5,2,66,62,85,46
8,12,10,5,10,15,14,23
6,5,2,2,40,25,42,21
1,0,0,1,2,3,3,0
66,69,55,23,14,22,14,23
51,43,40,38,0,0,1,0
0,0,0,0,3,3,1,2
0,0,0,0,0,0,0,0
46,56,36,82,0,0,0,0
5,7,5,0,2,2,3,1
0,0,0,1,12,18,20,31
0,0,0,0,40,59,57,64
2,1,1,0,18,12,7,18
0,0,0,0,3,0,0,0
0,0,2,2,16,10,12,34
20,27,23,33,0,1,2,2
19,17,24,27,8,14,10,8
9,11,19,6,1,3,1,1
1,3,1,2,1,2,3,3
23,24,22,12,1,1,0,1
9,18,15,21,12,18,24,0
14,12,18,13,3,2,0,3
2,6,5,0,0,0,1,0
21,30,24,9,5,12,7,3
37,37,45,84,28,30,36,5
15,15,24,27,6,5,13,5
11,9,10,8,36,42,34,66
0,0,1,0,19,18,14,10
3,8,1,2,94,90,96,34
12,23,13,49,2,2,2,5
40,39,35,26,16,11,15,7
0,0,0,0,9,5,10,8
10,12,13,1,17,16,17,23
62,42,51,51,6,6,8,9
3,5,1,8,2,0,0,0
10,14,24,9,24,20,21,23
