"sim26_repl1_input","sim26_repl1_high","sim26_repl1_med","sim26_repl1_low","sim26_repl2_input","sim26_repl2_high","sim26_repl2_med","sim26_repl2_low"
10,13,10,1,23,19,18,0
0,0,0,0,15,18,15,10
35,42,42,114,7,11,8,10
5,6,5,1,2,4,0,1
3,5,5,2,16,5,14,9
11,4,18,20,0,0,0,1
21,14,19,13,36,23,22,34
0,0,3,1,24,24,30,1
55,46,67,40,0,0,0,0
6,2,3,0,12,6,3,4
31,30,20,27,12,12,11,17
3,2,1,1,17,29,22,62
3,8,1,1,15,15,12,19
2,1,4,0,34,34,31,26
8,13,7,20,16,22,24,13
4,1,6,4,3,2,1,2
3,2,5,3,0,0,0,0
8,15,17,14,0,0,0,0
59,57,66,223,8,12,3,7
76,59,63,1,0,0,0,1
40,31,23,0,0,0,0,2
0,0,0,0,2,0,1,0
37,39,30,22,0,0,0,0
22,14,16,20,21,20,9,4
18,10,7,2,93,89,74,44
88,90,86,50,17,13,20,24
0,0,0,0,6,5,9,3
0,0,0,0,14,7,7,8
3,3,2,1,9,9,7,4
1,2,1,1,8,7,10,24
73,82,59,48,38,46,31,53
37,31,45,21,39,43,35,16
3,8,7,17,0,0,0,0
22,16,16,9,12,7,6,11
26,24,14,12,10,8,13,4
12,7,13,0,33,31,37,10
27,30,14,11,2,2,3,0
43,31,55,57,6,8,4,1
6,4,4,0,22,42,37,2
3,3,9,7,1,4,0,4
34,36,43,70,0,0,0,0
11,8,17,14,0,1,1,0
1,0,0,0,86,80,86,52
0,0,0,0,0,0,0,0
3,6,2,1,16,11,13,11
3,1,1,2,13,10,12,5
101,90,103,55,3,6,1,7
0,0,0,0,1,2,0,1
6,4,2,7,37,29,24,0
41,23,51,36,3,8,3,8
0,0,0,0,4,2,3,1
5,6,10,7,1,6,2,1
0,1,1,3,8,5,4,2
64,62,82,92,0,2,1,0
4,3,2,11,0,0,0,0
69,77,66,100,16,18,16,9
15,21,16,0,42,47,31,19
13,15,8,7,10,23,16,17
6,4,10,12,0,0,0,0
0,3,1,0,0,0,0,2
3,4,4,3,5,10,10,9
11,12,4,2,64,68,54,87
44,38,45,12,20,18,20,27
15,23,27,11,6,9,5,4
5,2,7,4,6,6,5,1
5,1,3,7,30,23,25,26
14,26,15,33,37,31,25,39
51,46,39,47,24,40,21,84
2,0,0,0,0,0,0,0
19,19,4,52,2,0,1,0
8,10,15,1,9,11,8,2
3,3,4,4,8,4,4,6
0,0,0,0,36,39,35,34
38,41,40,41,11,14,13,4
0,0,0,0,0,0,0,0
22,19,19,34,0,0,1,1
24,18,28,11,14,13,24,6
0,0,0,0,16,13,13,8
15,14,3,4,7,4,3,1
1,6,4,10,65,67,61,16
4,8,9,13,19,8,12,2
3,5,5,7,23,43,31,4
0,0,0,0,4,2,6,3
65,54,78,100,7,10,9,28
35,42,23,49,0,1,0,1
0,0,0,0,0,1,4,0
0,0,0,0,0,0,0,0
39,46,40,60,0,0,0,0
4,7,10,4,4,2,3,0
1,0,0,0,15,19,25,7
0,0,0,0,48,66,44,7
1,0,1,0,13,14,14,3
0,0,0,0,1,2,1,1
0,0,1,1,8,16,15,33
20,27,27,7,4,1,0,2
22,30,18,7,10,4,11,0
13,11,8,11,5,4,6,2
1,3,0,1,0,1,3,3
18,19,25,45,1,1,2,0
19,11,9,12,27,24,18,16
15,10,9,3,0,5,4,0
5,3,3,0,0,2,0,0
26,30,27,7,7,11,8,9
28,37,39,33,36,23,29,14
11,18,12,20,11,7,3,5
7,6,14,10,39,27,38,86
0,0,0,0,21,18,21,7
7,8,0,0,101,86,109,82
24,17,33,38,1,6,2,1
39,54,40,42,13,8,13,9
0,0,0,0,7,7,5,6
15,9,10,10,19,14,11,38
55,57,31,16,7,7,4,11
0,3,1,1,0,0,2,0
15,12,21,1,24,17,33,35
6,6,11,4,60,50,69,9
4,3,5,3,56,36,56,15
0,0,0,0,32,29,36,45
37,55,30,87,50,43,45,45
0,0,0,0,8,10,13,22
44,50,39,26,84,72,94,79
26,25,15,4,6,4,8,7
6,2,2,2,34,18,21,13
9,11,12,7,13,18,11,2
0,0,0,0,6,6,2,10
0,0,0,1,75,51,70,83
25,14,12,9,49,44,40,133
5,11,6,10,27,48,30,34
3,9,11,17,0,0,0,0
8,4,8,0,11,12,9,8
21,13,23,24,0,0,0,0
5,3,1,0,1,1,3,0
54,68,38,38,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,4,7,2,2
5,1,6,7,5,6,5,1
1,4,4,1,31,21,33,23
47,37,59,14,4,3,1,5
13,14,17,14,3,4,2,12
6,4,4,4,18,28,15,9
0,0,1,0,2,1,1,2
8,11,21,24,6,5,4,10
35,39,32,61,1,1,0,0
4,2,3,0,13,10,14,38
71,78,80,127,1,0,0,1
56,53,60,23,105,99,86,51
11,8,11,29,3,4,5,7
5,3,4,28,31,22,29,5
0,0,0,0,23,28,22,10
19,18,24,28,23,23,10,18
6,19,14,2,2,1,1,8
9,9,5,0,1,0,0,0
0,0,0,0,2,3,4,9
65,71,78,89,3,8,9,3
2,4,5,1,4,5,8,4
22,20,20,30,30,38,15,30
3,3,4,2,0,0,0,0
10,14,24,14,8,10,11,38
19,26,21,5,3,0,2,1
4,6,10,5,3,6,3,5
3,2,6,1,35,25,24,26
6,3,6,4,28,18,33,3
36,28,39,22,17,16,21,13
25,26,31,6,12,11,14,1
1,3,1,1,13,20,9,6
22,19,29,15,31,28,28,155
5,3,4,8,0,0,0,1
0,0,0,0,0,0,0,0
5,12,8,8,1,4,1,4
1,3,2,4,2,0,1,0
2,1,1,0,37,52,37,66
4,0,2,0,7,8,2,4
45,47,41,3,16,19,15,28
17,23,20,19,32,41,42,80
1,3,2,0,41,49,48,36
0,0,0,0,11,10,8,0
8,8,7,4,42,39,44,22
0,0,0,0,10,19,18,9
82,87,64,104,21,25,12,39
7,3,6,3,0,0,0,0
8,12,10,34,0,0,0,0
1,6,8,4,60,62,61,163
5,3,8,4,32,27,28,20
40,19,27,24,0,0,0,0
40,40,28,69,7,8,18,2
10,14,19,3,4,3,3,1
11,8,3,1,0,0,0,0
4,9,4,22,0,0,0,0
0,0,0,0,40,32,37,36
16,21,18,9,26,21,26,60
0,0,1,0,0,0,0,0
0,0,0,0,0,2,1,1
0,0,0,1,14,8,18,4
0,0,1,1,0,0,0,0
2,2,0,2,6,3,7,13
2,0,0,0,5,4,4,2
16,23,12,1,5,1,4,5
19,16,25,66,24,24,9,32
3,2,4,2,4,3,9,6
7,7,3,3,0,0,0,0
9,5,3,1,8,2,3,7
11,8,14,0,33,33,40,11
1,4,4,5,3,1,1,0
4,2,3,4,2,1,1,3
16,25,9,1,7,6,3,9
8,6,6,8,12,8,9,30
13,7,4,22,24,23,16,45
11,7,7,21,12,10,6,12
0,0,0,0,0,1,2,0
50,57,69,42,14,16,16,1
39,50,34,103,15,16,17,17
3,1,1,0,3,9,10,1
0,0,0,0,6,7,7,6
35,38,22,2,18,15,11,16
0,0,0,0,65,65,70,30
28,29,28,42,3,4,5,14
104,83,103,4,12,10,10,32
31,23,35,10,0,1,2,1
6,3,4,4,7,7,14,11
59,64,54,45,4,3,1,4
3,2,0,0,21,21,14,4
4,2,3,0,4,1,1,6
1,4,2,5,23,25,24,21
