"sim2_repl1_input","sim2_repl1_high","sim2_repl1_med","sim2_repl1_low","sim2_repl2_input","sim2_repl2_high","sim2_repl2_med","sim2_repl2_low"
11,13,13,28,20,26,23,28
0,0,0,0,15,13,13,3
29,36,36,39,13,8,11,22
9,3,3,15,2,0,5,5
3,5,8,7,13,11,10,12
7,12,16,27,2,1,1,0
20,20,18,9,16,30,25,10
2,1,2,2,22,23,18,20
54,49,69,32,0,0,0,0
5,8,10,0,13,6,7,14
26,35,22,6,10,3,6,9
3,4,6,2,23,31,18,18
8,8,2,0,10,13,13,7
2,0,7,1,38,30,35,49
11,11,4,7,20,16,16,11
3,4,3,1,0,1,1,0
3,6,1,1,0,0,0,0
17,14,16,0,0,0,0,0
55,58,52,140,5,2,0,13
59,57,57,15,1,0,0,0
30,21,33,7,2,1,0,2
0,0,0,0,0,0,0,0
40,21,32,44,0,0,0,0
16,16,18,45,28,25,16,29
16,6,13,6,95,97,79,120
75,71,96,85,24,15,19,14
0,0,0,0,4,3,7,1
0,0,0,0,7,10,4,1
0,0,1,0,7,8,11,2
2,1,1,3,8,8,10,10
68,71,74,131,30,29,40,23
38,47,30,5,38,37,38,23
11,5,9,10,0,0,0,0
24,18,18,19,11,8,9,27
16,15,14,17,9,13,8,3
9,10,8,5,24,37,43,60
24,29,19,3,6,6,2,3
43,56,49,20,4,3,4,0
2,3,4,1,30,37,31,44
3,8,9,0,2,4,3,3
43,46,38,29,0,0,0,0
11,17,6,5,1,0,1,0
2,0,1,1,75,85,73,132
0,0,0,0,0,0,0,0
1,3,1,1,10,9,8,9
3,2,2,10,16,11,8,0
77,120,74,146,2,6,2,2
0,0,0,0,1,1,0,1
2,3,1,0,34,34,33,17
35,30,33,25,7,5,8,5
0,0,0,0,2,1,2,9
14,9,7,13,3,5,1,1
1,1,0,0,3,8,5,2
68,75,68,8,1,0,1,1
10,3,4,8,0,0,0,0
70,68,59,75,23,24,13,16
12,22,17,32,26,37,29,17
9,11,12,22,17,16,20,1
6,8,8,0,0,0,1,0
0,1,0,0,0,0,0,1
6,4,6,5,4,10,15,1
13,7,9,26,79,59,88,38
54,54,52,30,13,17,19,3
28,20,23,54,7,6,7,1
5,2,8,1,8,7,6,15
1,3,2,2,34,17,37,53
23,21,19,20,24,39,28,3
42,52,52,7,31,27,37,40
1,0,0,0,0,0,0,0
18,14,10,5,0,0,1,0
8,17,3,23,9,11,4,9
3,4,2,3,6,4,5,5
1,0,0,0,43,38,35,52
34,35,43,8,12,9,4,2
0,0,0,0,0,0,0,0
20,13,16,7,0,0,0,0
17,28,19,7,16,22,21,16
0,0,0,0,9,12,10,40
4,11,11,4,4,8,4,8
3,3,8,10,73,62,68,20
8,7,5,52,9,12,14,6
4,7,3,4,28,26,40,4
0,1,0,1,3,6,0,0
64,50,58,48,15,13,22,21
41,35,25,74,0,2,1,0
0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0
37,35,40,73,0,0,0,0
7,5,7,4,4,6,0,0
0,0,0,0,19,17,22,18
0,0,0,0,35,49,43,82
1,2,0,1,16,12,19,22
0,0,0,0,0,0,0,0
1,0,1,0,13,5,19,16
30,24,17,0,2,2,3,4
20,10,17,13,7,7,6,0
8,13,11,0,1,2,3,1
1,0,3,1,2,2,3,7
19,26,30,18,0,1,1,0
15,18,19,24,26,15,34,16
13,9,9,15,2,2,1,2
2,4,3,0,1,1,0,0
34,22,21,72,14,6,18,9
48,41,40,22,28,45,27,44
8,16,19,8,7,8,7,10
15,15,12,0,44,32,26,59
1,0,0,0,20,23,18,9
2,4,4,2,93,74,87,353
19,22,26,6,1,0,5,0
50,37,44,58,11,7,8,3
0,0,0,0,6,6,10,4
9,5,9,14,16,23,10,39
46,38,42,2,4,4,5,2
1,7,0,7,0,1,1,2
21,22,14,27,27,22,25,10
4,8,12,0,53,67,46,41
6,5,2,2,62,45,66,8
0,0,0,0,38,37,37,17
37,43,35,45,49,46,48,18
0,0,0,0,9,14,9,10
36,37,36,80,94,104,80,59
30,22,26,9,6,9,5,9
1,2,2,13,33,32,23,41
5,12,11,15,16,6,9,9
0,0,1,0,5,5,15,8
2,0,0,1,51,66,49,89
25,21,20,3,36,47,42,100
5,9,5,6,39,33,37,19
9,2,6,1,1,0,0,0
4,8,4,8,12,11,12,18
18,15,21,13,0,0,0,0
3,5,5,0,2,1,0,0
47,51,58,24,0,0,0,0
0,0,0,0,1,1,0,0
0,0,0,0,4,6,11,6
6,2,5,1,1,6,2,1
2,4,2,1,14,29,24,3
50,49,47,116,0,4,1,4
23,23,13,6,2,3,3,1
9,4,4,5,21,16,17,48
0,0,0,0,2,1,0,2
11,26,7,12,13,13,4,2
35,47,44,47,1,1,0,0
0,3,3,2,18,15,17,10
57,68,69,63,0,1,1,0
56,60,56,79,92,79,107,51
12,14,17,5,4,0,2,2
4,4,3,2,27,27,23,25
0,0,0,0,16,18,25,43
20,17,28,50,12,14,10,21
16,18,6,9,7,2,2,1
14,9,12,8,0,0,0,0
0,0,0,0,4,3,5,2
78,66,79,37,4,6,5,4
5,3,5,1,3,4,6,4
26,18,20,11,31,21,23,14
3,5,1,3,0,0,0,0
21,14,17,18,12,6,4,1
27,25,14,38,2,2,1,0
8,10,7,2,3,2,5,8
2,4,4,1,33,46,32,7
10,6,5,28,26,29,34,6
39,32,36,85,13,14,20,6
30,23,13,42,17,14,12,5
0,2,3,1,23,28,13,20
27,14,33,17,47,30,36,12
6,6,6,4,0,0,0,0
0,0,1,0,0,0,0,0
13,6,5,6,2,2,4,0
0,2,1,2,2,3,1,2
1,3,2,0,35,35,36,117
0,4,2,3,8,6,9,3
36,39,52,41,24,12,19,23
23,31,25,16,50,27,56,8
3,5,6,1,45,45,48,72
0,0,0,0,9,10,7,9
5,2,6,16,55,38,40,19
0,0,0,0,17,24,14,0
82,79,83,21,19,16,20,22
9,8,13,3,1,0,0,0
7,9,9,4,0,0,0,0
3,1,5,6,55,61,49,58
2,8,7,7,29,27,20,15
19,28,25,71,0,0,0,0
29,24,32,2,11,6,6,2
16,17,18,0,0,6,7,3
5,8,7,0,0,0,0,0
5,9,5,10,0,0,0,0
0,0,0,0,36,34,35,57
11,12,22,13,28,28,18,31
0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,16,12,11,8
3,3,2,2,0,0,0,0
2,3,1,2,8,8,4,2
1,0,1,0,4,6,6,5
12,15,11,31,0,5,2,1
20,22,30,28,18,18,16,36
0,1,3,0,4,8,2,9
3,3,2,0,0,0,0,0
7,5,9,3,2,4,4,13
10,7,7,14,42,30,44,20
2,0,1,1,1,2,0,4
6,5,1,7,4,0,0,1
12,24,16,5,4,3,3,4
2,4,6,3,17,12,15,11
6,13,10,8,26,19,25,14
8,8,6,4,13,5,9,27
0,0,0,0,0,0,3,1
46,70,43,33,18,9,18,6
50,37,45,19,13,24,20,22
1,0,2,2,13,14,7,12
0,0,0,0,5,2,3,9
37,33,34,56,12,15,9,10
0,0,0,0,76,60,59,17
31,24,48,10,5,10,5,2
102,89,91,100,16,19,11,21
30,29,34,5,3,0,0,4
0,1,1,3,5,3,11,3
50,64,69,62,1,3,3,16
