"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
297,393,381,399
112,52,174,76
122,222,168,212
342,222,263,241
1165,1485,1433,1411
291,366,363,485
485,481,484,728
663,1135,719,499
137,114,97,193
425,877,465,394
233,248,318,224
603,837,606,908
457,445,543,403
528,914,672,1639
225,481,333,542
420,665,564,420
700,498,991,1304
527,777,592,919
302,275,278,399
299,487,416,392
856,534,966,387
785,930,765,685
490,268,593,473
228,273,338,466
932,754,1240,1336
439,286,432,249
468,276,632,711
931,631,1266,1929
512,393,445,675
291,399,342,366
150,277,325,196
413,136,625,457
490,802,459,193
175,189,235,135
505,599,628,787
119,120,103,83
469,552,783,1303
274,376,416,191
470,576,632,487
674,198,890,602
486,463,628,669
543,799,620,1339
1017,3349,1253,1214
535,591,693,759
128,163,182,110
610,716,768,989
369,473,502,948
274,366,383,393
484,304,553,804
104,351,119,99
134,194,265,203
313,537,312,419
328,178,286,233
446,419,569,289
206,102,263,159
92,113,87,91
522,591,419,326
582,681,591,827
254,374,446,875
153,121,187,223
22,23,69,69
396,563,491,710
455,329,429,95
284,539,282,526
239,505,372,241
300,69,338,616
794,725,1250,1110
307,252,376,676
507,500,687,502
323,307,374,303
524,1110,566,600
211,337,198,124
1005,1650,1204,1428
235,386,373,710
742,634,740,1059
693,979,850,468
535,287,561,707
640,599,761,1309
336,296,430,851
524,227,642,575
247,87,298,415
81,83,180,147
302,285,353,209
373,168,464,637
1243,1767,1553,1640
664,287,841,494
400,239,498,255
576,363,708,732
151,132,185,330
135,62,103,116
297,359,363,276
365,183,423,528
86,6,66,99
281,261,270,124
1227,2535,1588,3426
619,1581,649,1156
376,444,365,416
468,957,500,769
446,657,480,401
251,130,414,411
323,312,315,260
248,286,331,56
222,180,260,265
250,165,357,277
328,376,484,546
391,318,597,944
290,244,287,239
85,106,124,26
336,397,423,291
242,331,337,167
46,54,97,101
314,749,408,423
431,312,553,113
600,485,785,831
512,736,694,448
613,1305,789,649
266,114,379,371
194,303,174,179
435,297,563,1020
501,614,536,208
547,195,806,531
338,330,468,434
318,556,334,85
389,431,382,365
709,484,660,474
702,845,976,652
530,499,534,275
403,445,382,566
333,470,390,470
280,233,335,396
413,293,387,618
203,230,207,184
639,610,773,1078
504,1138,579,548
974,1315,983,1298
818,839,951,1038
467,275,526,1058
158,194,169,209
759,408,931,1393
798,802,1098,1378
