"beta_intercept","beta_neg_pred_1","beta_neg_pred_2","beta_pos_pred_1","beta_pos_pred_2","tau","disp","AUC"
3.87937633338856,-0.856195183576326,-0.0360084400962275,-0.981517289300499,1.35758194705046,2.79201135688966,4.40826521844465,0.913
4.04877671949836,-0.835084866936214,-0.0270044963429681,-0.965516965215361,1.38519817295472,2.39870565750975,4.4112636201125,0.914
3.91128891224434,-0.842113094183351,-0.0547009113587989,-0.942390638133737,1.12687119501767,2.63207513315148,4.97785367763318,0.87
3.74316221921561,-0.85828448016037,0.0130548991825089,-1.08642752853368,1.37229631861096,3.11286800068143,4.2734974892244,0.889
4.40708719934886,-0.85721544784097,-0.153946669103402,-0.949066017688856,1.48369393304012,2.24353686283303,4.36695226372187,0.971
3.44412427159033,-0.878441440812322,-0.0389457278846411,-1.0714077725227,1.2078081631802,3.06350416925588,4.88416368326095,0.883
4.04471117515341,-0.846660441285712,0.0192810710501971,-1.05702847428592,1.45173054212686,2.75462713783728,5.17996878629866,0.959
3.87523358335597,-0.855903378297963,0.0444032249256835,-0.90018201330189,1.40191299953407,2.6750459811819,5.01245529321054,0.903
3.94751778257991,-0.855239956975067,-0.120223101591938,-0.938461787880814,1.46203972964814,2.8883275409945,4.79552670352886,0.961
3.70840868241942,-0.839151409198928,-0.301360608571223,-0.967659334414771,1.14337915905985,2.82109991938837,3.95080839748985,0.896
4.06865062459001,-0.856872674503659,-0.105386727342627,-1.06899764272296,1.38286153476399,2.57712777407337,4.22244062575854,0.915
