"beta_intercept","beta_neg_pred_1","beta_pos_pred_1","tau","disp","AUC"
7.4726928455424,0.0685930186518832,-0.979264992864674,0.666076889987687,6.11458776759044,0.906
7.44359537641458,-0.0071048791036342,-0.98063071016991,0.691934138473166,6.2544164886525,0.888
7.46738077976719,0.0885037096070874,-0.949351208425147,0.651849154108183,6.537090515054,0.91
7.4146206231719,0.0415784568895929,-0.930294365523325,0.689811279741032,6.3580547668283,0.891
7.50685588003565,0.0433877895893834,-0.9914347952814,0.607724046536327,6.90472606011864,0.914
7.47169231320656,0.106284711191157,-0.990846801706876,0.652771858603324,6.38952610023342,0.922
7.45872923084562,0.138409100743272,-1.03937118308241,0.664743694969577,5.64561534932543,0.925
7.49627552874512,0.0733558869637028,-0.955931832676081,0.624529097026793,6.21810096471483,0.897
7.46900591256856,0.147194557847063,-1.01560774660263,0.667250423180756,5.81194226690225,0.932
7.51787982792287,0.0723004363790585,-0.965750416314679,0.609405351216825,5.63426924318319,0.892
7.4942603904607,0.0445089310587352,-1.01465101948206,0.66189126122728,5.9503031193414,0.903
