"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
1619,3479,1959,1423
2641,2449,3183,2514
3161,2815,3046,2011
2273,3488,2163,3164
666,786,625,798
2454,6682,2540,1954
1701,1880,1786,2700
2780,1758,3063,3756
1766,764,2064,2054
1436,927,1551,1258
2160,2159,2489,1554
4153,5601,5168,2595
2258,1511,3364,3752
2667,3946,3856,5501
1758,1738,2074,2074
1656,1309,1557,1355
999,1490,1216,1548
961,801,1137,381
1124,1532,1453,1174
1541,1324,1742,1796
343,611,685,1409
555,1073,584,537
1883,541,2017,2982
700,256,622,563
203,184,366,658
1023,946,862,464
2609,3565,2699,1926
353,645,214,260
3316,2340,3793,4820
2420,5359,3246,2763
1280,1405,1259,1874
1727,2371,2131,2069
2162,4151,2258,3370
449,472,484,851
1493,1554,2032,786
1868,1891,1744,2433
1136,249,905,449
1559,1953,2324,1615
1317,1372,1476,1542
1172,1232,1129,378
859,1155,1426,1350
339,442,494,390
1884,1465,3702,4000
2547,1216,3232,5487
1673,2887,2296,2625
1023,1657,1045,1434
1569,1185,2190,1569
3455,3763,3652,5925
380,725,425,335
790,1231,937,942
3062,3595,3771,2295
1102,1615,1062,1039
2332,2222,2972,3079
1020,1036,1640,2163
3593,9188,4668,4959
1355,3026,1712,2161
1903,3883,1616,3030
531,282,593,427
1788,3384,2135,1140
974,1994,1080,2500
684,470,589,859
2414,1953,2854,3923
2148,2366,2381,3979
2232,1806,2987,2695
412,325,462,841
200,89,258,225
1734,2551,2475,4750
1388,835,1568,1976
2260,1705,3105,1620
1495,2399,2309,2545
704,782,833,829
2994,2705,3381,2926
1659,1176,1985,622
1003,1796,824,1322
2207,2537,2776,5343
633,404,434,474
642,838,888,1168
1497,2837,2066,1588
477,589,630,1311
1119,1286,1127,1903
1987,2615,2571,4304
956,1468,844,481
3050,1730,3724,3394
638,965,397,505
2691,1894,3189,2538
2868,3958,3789,3831
3791,3372,3923,5278
625,688,887,1484
3193,5696,3993,9294
1126,2023,1137,1619
2715,2589,3536,3640
1824,923,2660,2561
1159,1549,1245,1213
564,487,694,737
146,134,249,308
1467,2527,1735,3069
1121,1413,1338,1120
977,1682,1583,2000
1992,2442,2765,1947
1871,2070,2944,6804
739,891,901,506
2640,3430,3262,2637
1065,1125,1300,1214
1366,2036,1964,2981
2958,2021,3395,2963
2367,3295,2831,5487
768,631,921,997
926,1700,1738,1895
1810,2007,1873,3262
1073,379,1485,3192
2772,2372,3406,7772
1601,1102,1214,1589
2475,3204,2643,2764
717,1086,660,712
2228,1891,2085,1086
908,645,837,762
775,810,771,958
1391,1240,1756,1962
1081,556,1885,2539
535,520,721,610
492,309,463,502
1479,1212,1918,1437
654,855,933,1197
1042,1738,925,575
3821,7126,4032,6911
1200,1515,1196,556
2177,3728,2417,4729
3257,4210,3250,6251
608,1053,993,2258
2343,1393,2449,3623
994,1470,1175,1558
1835,1827,2082,4021
872,916,697,1636
779,1061,1164,730
923,796,945,994
1741,1727,2486,1614
702,2049,439,442
1189,1161,1249,1127
2145,2926,2486,1639
3150,4595,3931,7703
916,1285,1079,1196
859,1139,1150,545
896,1058,1526,1728
438,368,495,574
351,573,440,328
1576,3384,1830,1784
1051,1348,1743,2146
1152,1249,1376,1390
2126,3534,2114,2358
1482,1402,1424,2162
1470,2170,2156,1935
2031,1060,2440,923
4481,5835,5640,6380
1060,1104,967,506
738,980,662,536
2118,6300,2679,1740
2672,2010,2624,3313
1600,1681,2232,1487
832,1328,1048,469
763,844,832,827
1194,1849,1556,761
1612,1536,2290,3593
3847,4835,3938,7671
